"DescripcionComercial","AnnioCorte","MesFactura","FormaFarmaceutica","CUMCodATC.x","PrincipioActivo","ViaAdministracion","PrecioMinimoUnitario","PrecioMaximoUnitario","ValorTotalFacturado","TotalUnidadesFacturadas","titular","CUMCodATC.y","descripcionatc"
"AXIMOD","2023","3","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,4032000,16,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","3","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,4032000,16,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","3","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","3","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","3","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,1184400,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","3","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,1184400,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,9576000,38,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,9576000,38,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,5040000,20,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,5040000,20,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",18000,32000,4776800,224,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",18000,32000,4776800,224,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,504000,2,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,504000,2,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,5625900,19,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","4","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,5625900,19,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,14112000,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,14112000,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,9828000,39,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,9828000,39,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,32000,592200,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,32000,592200,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1512000,6,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1512000,6,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,2961000,10,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,2961000,10,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,5953584,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,5953584,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,11907112,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","5","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,11907112,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1008000,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2268000,9,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2268000,9,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,32000,3257100,154,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,32000,3257100,154,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,5329800,18,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,5329800,18,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,5953584,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,5953584,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,5953556,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","6","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,5953556,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,10332000,41,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,10332000,41,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2268000,9,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2268000,9,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",18000,21150,3591450,199,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",18000,21150,3591450,199,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2520000,10,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2520000,10,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,5625900,19,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",296100,296100,5625900,19,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,6378810,30,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,6378810,30,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,5636764,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,5636764,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2772000,11,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,2772000,11,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1764000,7,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1764000,7,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,21150,21150,1,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,21150,21150,1,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",288260,296100,5002340,17,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",288260,296100,5002340,17,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,11907112,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,11907112,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","9","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,3780000,15,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","9","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,3780000,15,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1764000,7,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,1764000,7,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,4284000,17,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,4284000,17,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,21150,592200,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",21150,21150,592200,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",288260,288260,1153040,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",288260,288260,1153040,4,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,11907168,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,11907168,56,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",166600,252000,2422000,13,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",166600,252000,2422000,13,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,756000,3,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",252000,252000,756000,3,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",11900,14300,1866200,154,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",11900,14300,1866200,154,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,5953584,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"AXIMOD","2023","12","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO 0.56 MG EQUIVALENTE A FINGOLIMOD","ORAL",212628,212628,5953584,28,"VESALIUS PHARMA S.A.S.","L04AA27","FINGOLIMOD"
"FINCLER","2022","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",1300000,1300000,2600000,2,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",1300000,1300000,2600000,2,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,5636764,28,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","7","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,5636764,28,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,11273528,56,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","8","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,11273528,56,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","9","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,5636764,28,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","9","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",201313,201313,5636764,28,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,5953556,28,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","10","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,5953556,28,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","11","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",1300000,1300000,1300000,1,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","11","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",1300000,1300000,1300000,1,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
"FINCLER","2022","11","CAPSULA DURA","L04AA27","FINGOLIMOD CLORHIDRATO EQUIVALENTE A FINGOLIMOD","ORAL",212627,212627,11907112,56,"BIOSPIFAR S.A.","L04AA27","FINGOLIMOD"
